source,grup_kod,name_tr,name_en
bddk,10001,Sektör,Sector Total
bddk,10002,Mevduat,Deposit Banks
bddk,10008,Mevduat-Yerli Özel,Deposit - Domestic Private
bddk,10009,Mevduat-Kamu,Deposit - Public
bddk,10010,Mevduat-Yabancı,Deposit - Foreign
bddk,10003,Katılım,Participation Banks
bddk,10004,Kalkınma ve Yatırım,Development and Investment Banks
bddk,10005,Yerli Özel,Domestic Private Banks
bddk,10006,Kamu,Public Banks
bddk,10007,Yabancı,Foreign Banks
finturk,10001,SEKTÖR,Sector Total
finturk,10002,MEVDUAT,Deposit Banks
finturk,10003,KALKINMA VE YATIRIM,Development and Investment Banks
finturk,10004,KATILIM,Participation Banks
finturk,10005,YABANCI,Foreign Banks
finturk,10006,KAMU,Public Banks
finturk,10007,YERLİ ÖZEL,Domestic Private Banks
